@relation 'JNC Dataset Android 0511-0911 - Training Set-weka.filters.unsupervised.attribute.Remove-R1,4-9,18-weka.filters.unsupervised.attribute.Remove-V-R1-2,5-6,8-10,12,11'

@attribute 'Cohort Size' numeric
@attribute 'Day 1' numeric
@attribute LevelFailedEvents numeric
@attribute LevelSuccessEvents numeric
@attribute Sessions numeric
@attribute MKTExpenses numeric
@attribute TotalPurchases numeric
@attribute MedianSessionSeconds numeric
@attribute ActiveUsersDay7 numeric

@data
1332,38.81,34782,17822,31890,64.47,62,392,10530
1267,40.41,37726,18589,34624,73.51,62,386,10217
948,43.04,35823,16720,33064,53.97,50,390,10803
912,41.34,35412,16191,32662,59.34,86,390,11307
941,37.19,34273,15000,31759,60.29,75,390,12006
1120,39.55,36435,17847,33528,92.41,80,405,12512
1189,40.2,38196,18446,34657,108.86,77,396,12503
1037,40.31,37191,17157,34891,101.09,61,409,10981
1000,39.5,35380,15623,33045,91.05,82,393,10738
1465,41.64,36690,19985,34893,98.19,56,387,10595
1884,42.25,36093,21225,35639,101.06,78,385,10507
2257,39.96,38361,23567,37142,97.38,55,386,10405
2236,40.56,40438,25197,39007,137.74,55,388,10956
1932,37.32,43617,25274,40018,148.36,77,387,11135
1064,38.72,39004,18185,35168,119.33,60,399,10614
1097,41.29,37079,16834,33737,78.53,45,401,10922
892,37.89,35989,17554,33698,64.65,66,383,11216
887,41.04,36631,19539,35007,57.95,66,394,11412
871,40.64,34474,17616,32730,71.72,91,394,11285
1418,42.17,36389,21414,34795,64,96,385,11078
1322,37.97,39042,21534,35214,71.29,73,380,10681
1257,41.77,37313,20144,33728,0.9,90,392,10255
1593,42.18,37827,21421,34176,19.62,65,387,10130
1633,42.93,38158,22216,34026,72.59,56,366,9741
1698,38.75,39498,22782,34559,69.76,77,371,9478
1523,41.5,39463,22976,34447,56.91,65,364,9465
1107,40.38,39235,20452,34122,53.04,61,383,9764
893,36.95,38504,17966,33203,42.8,87,373,9930
791,42.6,36786,15964,31857,47.18,65,380,9751
729,40.74,37537,15804,31536,60.39,85,386,10328
608,39.97,35678,14487,30805,62.53,61,390,10409
627,38.28,34176,13818,29439,36.43,71,390,10106
673,39.97,33570,14350,29108,64.27,57,379,9624
938,37.42,36142,16199,30213,60.07,75,376,9791
1008,37.2,35616,17192,30036,61,84,372,9665
1169,41.49,34776,16926,29995,45.58,44,378,9110
1627,39.09,35817,19792,31195,48.2,51,362,8713
1476,41.33,36837,20559,31436,55.72,63,350,8712
1232,40.02,35619,18419,29909,57.74,53,345,8770
819,37.36,34931,16252,29424,76.18,54,353,8905
769,35.37,37295,16475,30310,78.73,78,352,9515
683,32.5,37522,14877,29977,70.86,75,354,10384
575,36.7,34629,13506,27797,85.04,52,372,9910
599,33.22,32408,12695,26421,79.66,46,356,9804
620,37.42,32672,13041,27115,78.18,68,351,9293
786,42.24,31014,13859,26578,85.29,40,342,9006
915,37.27,30463,14578,26396,74.42,58,342,9038
1393,41.28,31861,16165,28097,86.62,73,337,8758
1630,38.59,35658,18346,30727,88.98,52,341,8653
1372,41.4,33243,16493,28783,87.52,58,352,8677
1163,40.58,34929,15799,29064,71.9,46,351,8436
894,39.37,32247,14116,27008,50.61,57,340,8714
609,43.02,32723,13645,26818,46.37,38,338,9206
710,35.77,32186,13236,26711,45.42,60,343,9982
639,33.65,31128,12443,25977,46.01,56,343,11152
649,36.83,31651,12388,25820,60.08,50,345,11686
564,37.77,32462,12067,26152,56.77,47,356,10858
554,39.17,31004,11806,24879,58.12,57,345,10519
952,42.02,31003,12625,25668,54.27,42,341,9932
1437,42.52,31101,15099,26587,46.54,61,330,9708
1864,41.47,33528,17398,29046,42.1,70,349,9697
2539,41.95,35836,21869,32195,38.57,68,379,9918
2407,40.13,38171,21974,33719,51.01,55,390,10435
1676,41.83,37266,18119,31945,54.88,44,382,9771
1097,41.57,38056,16988,31040,37.15,65,378,9808
900,39.56,35497,15170,28814,41.64,57,385,9786
858,41.38,34310,14347,28924,43.03,54,386,10027
825,40.73,33952,13610,28546,35.39,62,386,10182
949,39.62,35775,15486,30064,26.55,55,385,10503
1183,38.8,38412,16833,31173,36.89,45,390,10518
1040,43.17,36238,14507,28957,34.7,41,405,9843
1055,41.52,34786,14617,28473,40.36,56,406,9673
1101,42.05,34748,14472,28948,26.25,48,390,9409
1383,41.14,34726,15699,29217,28.13,46,395,9228
1332,39.86,35968,15790,30089,35.62,47,392,9072
1441,41.29,36717,16824,30578,31.52,39,367,9481
1272,36.71,38976,16297,31023,43.8,38,373,9877
1037,40.79,36317,13670,28749,43.89,54,389,9587
888,39.75,37510,14506,28927,49.22,47,382,9379
841,40.9,34817,13219,27293,35,40,376,9623
845,37.87,33311,12209,26069,21.48,28,374,9557
777,40.93,32919,11985,26039,20.89,46,383,9477
1220,39.02,34189,14846,27434,18.1,46,382,9604
1291,37.41,35164,15027,28066,5.83,63,370,9746
1144,35.14,34789,14111,27804,13.18,47,400,9408
1086,38.31,33821,13557,27111,6.39,56,389,9576
1261,37.19,35493,15594,27910,14.79,45,376,9431
1256,38.93,33503,13903,26695,18.2,50,375,9294
1100,41.55,34093,13870,26721,11.49,43,371,9248
1178,42.61,33821,14328,27102,17.16,33,385,9499
978,39.26,36126,14920,28282,14.97,32,374,9607
