"",,Days Since Install
Install Date,Cohort Size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
04/09/15,1437.0,42.52%,30.34%,25.75%,20.6%,19.07%,16.42%,14.47%,13.99%,12.53%,13.01%,11.55%,11.27%,11.55%,10.23%,10.16%,9.53%,9.67%,8.84%,8.28%,7.65%,7.24%,7.03%,6.96%,6.26%,6.75%,6.68%,5.71%,5.78%,5.71%
04/08/15,952.0,42.02%,28.26%,21.43%,17.65%,17.65%,15.97%,13.97%,12.18%,13.24%,11.76%,10.92%,12.08%,11.24%,9.35%,9.66%,8.51%,7.98%,8.09%,7.98%,9.03%,7.77%,6.93%,6.3%,6.41%,6.93%,6.3%,6.72%,6.72%,6.41%
04/07/15,554.0,39.17%,28.34%,22.2%,19.13%,16.79%,13.72%,13.9%,13.36%,8.84%,10.47%,11.73%,9.21%,9.39%,9.03%,8.66%,8.3%,7.76%,7.76%,7.58%,6.86%,7.04%,6.14%,7.04%,5.6%,5.78%,5.6%,4.15%,5.05%,4.15%
04/06/15,564.0,37.77%,28.37%,21.45%,18.79%,19.33%,17.2%,15.6%,10.82%,13.48%,9.57%,10.82%,9.75%,9.4%,7.98%,6.74%,8.16%,8.33%,7.62%,8.16%,7.45%,7.09%,5.67%,4.96%,6.56%,5.5%,5.5%,4.96%,4.43%,4.61%
04/05/15,649.0,36.83%,25.89%,21.11%,18.64%,17.1%,16.02%,15.41%,13.56%,12.63%,10.48%,10.63%,10.32%,10.02%,10.63%,8.32%,9.71%,7.24%,7.24%,6.78%,6.63%,5.86%,7.55%,5.39%,5.39%,4.47%,5.86%,4.78%,5.55%,4.01%
04/04/15,639.0,33.65%,26.13%,20.5%,18.62%,17.06%,15.96%,13.46%,12.52%,10.33%,10.95%,9.23%,9.7%,9.7%,9.23%,8.76%,7.2%,7.2%,6.73%,5.95%,6.73%,7.04%,6.57%,6.42%,4.85%,5.95%,6.1%,5.79%,4.69%,5.48%
04/03/15,710.0,35.77%,26.76%,22.96%,18.31%,17.04%,14.08%,13.94%,13.52%,11.27%,11.41%,11.27%,9.3%,9.44%,8.31%,8.45%,9.3%,6.48%,6.48%,6.2%,6.62%,6.34%,7.18%,4.79%,4.79%,5.07%,5.07%,5.92%,4.37%,3.24%
04/02/15,609.0,43.02%,26.27%,22%,18.56%,17.73%,15.44%,12.81%,11.66%,9.36%,9.2%,8.54%,8.21%,9.52%,8.05%,8.05%,6.24%,7.22%,6.73%,7.39%,6.4%,6.08%,6.08%,5.25%,5.42%,4.76%,4.27%,3.94%,5.75%,4.43%
04/01/15,894.0,39.37%,26.06%,24.27%,19.35%,18.68%,15.88%,14.65%,13.2%,13.76%,14.21%,11.97%,11.74%,10.29%,10.4%,9.28%,9.73%,9.06%,7.83%,7.49%,7.49%,7.05%,7.94%,7.27%,6.04%,6.6%,5.48%,6.15%,6.71%,5.7%
03/31/15,1163.0,40.58%,29.66%,21.67%,19%,15.13%,16.17%,13.76%,14.27%,12.55%,11.18%,10.4%,10.15%,10.32%,9.54%,8.25%,9.2%,8.34%,8.94%,8.6%,8.43%,7.65%,7.22%,7.91%,7.14%,6.36%,7.74%,6.71%,5.93%,6.45%
03/30/15,1372.0,41.4%,29.01%,25.29%,21.21%,18.66%,16.03%,16.47%,14.72%,13.12%,12.17%,11.22%,11.52%,11.37%,9.62%,11.3%,9.55%,10.2%,8.16%,9.33%,10.2%,8.31%,8.53%,7.94%,8.24%,7.87%,7.65%,7.36%,7.29%,6.92%
03/29/15,1630.0,38.59%,28.4%,23.25%,19.88%,18.65%,15.52%,14.72%,12.94%,11.6%,12.02%,10.18%,9.82%,10.18%,10.12%,8.96%,8.77%,9.51%,8.4%,7.48%,7.85%,8.83%,6.56%,6.81%,6.56%,7.06%,6.26%,7.06%,6.81%,6.07%
03/28/15,1393.0,41.28%,26.06%,21.82%,18.81%,18.09%,16.01%,15%,14%,12.2%,10.41%,10.91%,11.06%,10.34%,11.2%,10.34%,8.9%,8.04%,7.18%,7.18%,7.82%,7.11%,8.47%,7.18%,6.46%,7.04%,6.6%,6.46%,6.75%,6.82%
03/27/15,915.0,37.27%,26.89%,23.61%,17.38%,16.07%,15.08%,13.11%,12.46%,11.26%,11.26%,10.27%,9.18%,10.16%,9.4%,7.98%,8.63%,7.43%,8.2%,7.54%,7.32%,6.78%,6.45%,6.78%,6.56%,6.23%,6.45%,5.79%,6.12%,5.79%
03/26/15,786.0,42.24%,27.74%,24.68%,19.85%,17.81%,15.27%,12.6%,14.25%,11.32%,10.43%,11.45%,9.8%,9.29%,10.94%,8.4%,7.51%,8.78%,6.23%,7.89%,7.25%,5.98%,6.62%,5.47%,6.23%,5.09%,5.22%,5.47%,5.34%,4.45%
03/25/15,620.0,37.42%,22.74%,20.32%,19.03%,16.94%,14.19%,12.9%,11.13%,10%,10%,7.1%,9.03%,9.68%,7.9%,7.1%,7.42%,5.97%,6.94%,4.84%,5.48%,5.48%,4.35%,6.13%,5.16%,5.48%,4.68%,3.23%,4.19%,4.03%
03/24/15,599.0,33.22%,22.2%,15.03%,14.52%,13.36%,9.85%,9.68%,8.35%,7.68%,6.68%,6.01%,5.01%,5.51%,5.18%,5.68%,5.51%,3.84%,4.51%,4.84%,4.34%,4.67%,3.67%,3.67%,5.18%,3.67%,2.67%,2.84%,3.67%,2.84%
03/23/15,575.0,36.7%,26.26%,18.09%,15.13%,14.78%,12.87%,12.87%,8.7%,9.74%,8.87%,9.57%,6.78%,7.83%,7.83%,7.13%,6.96%,6.43%,6.96%,4.87%,5.39%,5.04%,5.91%,4%,4%,5.04%,3.13%,4.35%,3.48%,3.13%
