"",,Days Since Install
Install Date,Cohort Size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
03/15/15,54.0,50%,37.04%,27.78%,29.63%,20.37%,31.48%,24.07%,18.52%,16.67%,18.52%,14.81%,16.67%,14.81%,18.52%,16.67%,7.41%,7.41%,11.11%,9.26%,3.7%,3.7%,9.26%,9.26%,3.7%,3.7%,7.41%,7.41%,5.56%,3.7%
03/14/15,72.0,36.11%,25%,20.83%,18.06%,20.83%,12.5%,18.06%,11.11%,13.89%,12.5%,6.94%,8.33%,9.72%,6.94%,6.94%,6.94%,4.17%,6.94%,8.33%,5.56%,2.78%,5.56%,6.94%,4.17%,5.56%,8.33%,8.33%,5.56%,4.17%
03/13/15,63.0,33.33%,22.22%,15.87%,22.22%,23.81%,17.46%,14.29%,11.11%,1.59%,6.35%,1.59%,1.59%,0%,6.35%,4.76%,1.59%,1.59%,4.76%,4.76%,4.76%,3.17%,3.17%,6.35%,3.17%,3.17%,4.76%,9.52%,12.7%,7.94%
03/12/15,63.0,49.21%,23.81%,12.7%,17.46%,9.52%,17.46%,15.87%,15.87%,15.87%,12.7%,11.11%,9.52%,11.11%,7.94%,9.52%,4.76%,6.35%,6.35%,4.76%,3.17%,3.17%,3.17%,6.35%,6.35%,7.94%,6.35%,6.35%,4.76%,7.94%
03/11/15,70.0,47.14%,30%,27.14%,21.43%,18.57%,18.57%,17.14%,17.14%,18.57%,14.29%,15.71%,10%,17.14%,11.43%,10%,10%,10%,8.57%,7.14%,5.71%,2.86%,5.71%,4.29%,4.29%,5.71%,10%,5.71%,4.29%,2.86%
03/10/15,67.0,40.3%,29.85%,22.39%,23.88%,16.42%,19.4%,10.45%,13.43%,11.94%,14.93%,11.94%,11.94%,13.43%,14.93%,7.46%,7.46%,7.46%,5.97%,2.99%,7.46%,4.48%,7.46%,2.99%,5.97%,2.99%,4.48%,4.48%,7.46%,5.97%
03/09/15,68.0,41.18%,32.35%,22.06%,27.94%,25%,14.71%,14.71%,14.71%,14.71%,16.18%,13.24%,8.82%,8.82%,14.71%,8.82%,8.82%,7.35%,5.88%,5.88%,5.88%,5.88%,2.94%,4.41%,4.41%,4.41%,2.94%,2.94%,4.41%,2.94%
03/08/15,93.0,39.78%,36.56%,27.96%,21.51%,27.96%,25.81%,18.28%,13.98%,16.13%,15.05%,13.98%,16.13%,15.05%,15.05%,16.13%,12.9%,11.83%,9.68%,8.6%,6.45%,7.53%,6.45%,4.3%,12.9%,4.3%,6.45%,7.53%,6.45%,5.38%
03/07/15,94.0,36.17%,28.72%,31.91%,25.53%,23.4%,23.4%,20.21%,17.02%,18.09%,13.83%,13.83%,14.89%,11.7%,12.77%,11.7%,9.57%,8.51%,5.32%,7.45%,7.45%,6.38%,7.45%,6.38%,6.38%,5.32%,5.32%,3.19%,3.19%,7.45%
03/06/15,102.0,39.22%,23.53%,27.45%,18.63%,18.63%,16.67%,14.71%,17.65%,13.73%,10.78%,10.78%,7.84%,13.73%,10.78%,11.76%,10.78%,7.84%,4.9%,6.86%,6.86%,6.86%,9.8%,7.84%,5.88%,4.9%,3.92%,5.88%,4.9%,3.92%
