@relation 'JNC Dataset Android 0511-0911 - Training Set-weka.filters.unsupervised.attribute.Remove-R1,4-9,18'

@attribute 'Cohort Size' numeric
@attribute 'Day 1' numeric
@attribute CrashesANRDay1 numeric
@attribute DailyAverageRating numeric
@attribute LevelFailedEvents numeric
@attribute LevelSuccessEvents numeric
@attribute LevelPlayedEvents numeric
@attribute Sessions numeric
@attribute MKTExpenses numeric
@attribute TotalPurchases numeric
@attribute ActiveUsersDay7 numeric
@attribute MedianSessionSeconds numeric
@attribute AvgSessionSeconds numeric

@data
599,33.22,6,4.11,32408,12695,45104,26421,79.66,46,9804,356,539
620,37.42,7,4.36,32672,13041,45714,27115,78.18,68,9293,351,519
786,42.24,8,4.47,31014,13859,44874,26578,85.29,40,9006,342,539
915,37.27,7,4.74,30463,14578,45043,26396,74.42,58,9038,342,518
1393,41.28,4,4.3,31861,16165,48026,28097,86.62,73,8758,337,504
1630,38.59,39,4.04,35658,18346,54004,30727,88.98,52,8653,341,496
1372,41.4,13,3.91,33243,16493,49736,28783,87.52,58,8677,352,509
1163,40.58,9,4.6,34929,15799,50728,29064,71.9,46,8436,351,522
894,39.37,7,4.29,32247,14116,46364,27008,50.61,57,8714,340,503
609,43.02,8,4.74,32723,13645,46368,26818,46.37,38,9206,338,509
710,35.77,4,4.88,32186,13236,45422,26711,45.42,60,9982,343,520
639,33.65,9,4.75,31128,12443,43571,25977,46.01,56,11152,343,519
649,36.83,6,3.86,31651,12388,44039,25820,60.08,50,11686,345,531
564,37.77,10,4.67,32462,12067,44529,26152,56.77,47,10858,356,545
554,39.17,4,4.43,31004,11806,42810,24879,58.12,57,10519,345,524
952,42.02,11,4.5,31003,12625,43628,25668,54.27,42,9932,341,510
1437,42.52,8,4.5,31101,15099,46200,26587,46.54,61,9708,330,484
1864,41.47,5,4.85,33528,17398,50927,29046,42.1,70,9697,349,520
2539,41.95,4,4.56,35836,21869,57705,32195,38.57,68,9918,379,544
2407,40.13,5,4.3,38171,21974,60145,33719,51.01,55,10435,390,567
1676,41.83,6,4,37266,18119,55385,31945,54.88,44,9771,382,568
1097,41.57,3,3.94,38056,16988,55046,31040,37.15,65,9808,378,554
900,39.56,7,4.42,35497,15170,50667,28814,41.64,57,9786,385,572
858,41.38,5,4.67,34310,14347,48657,28924,43.03,54,10027,386,565
825,40.73,8,4.44,33952,13610,47562,28546,35.39,62,10182,386,564
949,39.62,4,4.59,35775,15486,51261,30064,26.55,55,10503,385,548
1183,38.8,8,4.28,38412,16833,55245,31173,36.89,45,10518,390,575
1040,43.17,3,4.32,36238,14507,50745,28957,34.7,41,9843,405,604
1055,41.52,9,4.52,34786,14617,49404,28473,40.36,56,9673,406,599
1101,42.05,4,4.33,34748,14472,49220,28948,26.25,48,9409,390,580
1383,41.14,7,4.27,34726,15699,50425,29217,28.13,46,9228,395,598
1332,39.86,4,4.14,35968,15790,51758,30089,35.62,47,9072,392,576
1441,41.29,5,4.94,36717,16824,53542,30578,31.52,39,9481,367,534
1272,36.71,0,4.3,38976,16297,55273,31023,43.8,38,9877,373,557
1037,40.79,6,4.64,36317,13670,49989,28749,43.89,54,9587,389,565
888,39.75,2,4.76,37510,14506,52017,28927,49.22,47,9379,382,565
841,40.9,3,4.42,34817,13219,48036,27293,35,40,9623,376,540
845,37.87,6,4.64,33311,12209,45520,26069,21.48,28,9557,374,547
777,40.93,5,5,32919,11985,44905,26039,20.89,46,9477,383,557
1220,39.02,3,4.25,34189,14846,49035,27434,18.1,46,9604,382,548
1291,37.41,9,4.58,35164,15027,50191,28066,5.83,63,9746,370,543
1144,35.14,15,4.39,34789,14111,48901,27804,13.18,47,9408,400,573
1086,38.31,3,4.53,33821,13557,47378,27111,6.39,56,9576,389,573
1261,37.19,1,4.19,35493,15594,51087,27910,14.79,45,9431,376,558
1256,38.93,0,4.77,33503,13903,47406,26695,18.2,50,9294,375,550
1100,41.55,4,4.08,34093,13870,47963,26721,11.49,43,9248,371,542
1178,42.61,7,4.13,33821,14328,48149,27102,17.16,33,9499,385,564
978,39.26,7,4.33,36126,14920,51046,28282,14.97,32,9607,374,537
