Date,Median Session Length,Total Time Spent in App,Avg Session Length
" 02/06/15 ","4 min 30 sec","21 dy 9 hr 37 min 44 sec","7 min 0 sec"
" 02/05/15 ","4 min 13 sec","18 dy 21 hr 51 min 42 sec","6 min 42 sec"
" 02/04/15 ","4 min 0 sec","20 dy 10 hr 9 sec","6 min 50 sec"
" 02/03/15 ","4 min 17 sec","21 dy 2 hr 25 min 16 sec","6 min 53 sec"
" 02/02/15 ","4 min 17 sec","22 dy 7 hr 26 min 1 sec","6 min 47 sec"
" 02/01/15 ","3 min 55 sec","19 dy 3 hr 47 min 13 sec","6 min 22 sec"
" 01/31/15 ","3 min 59 sec","21 dy 12 hr 13 min 58 sec","6 min 35 sec"
" 01/30/15 ","3 min 57 sec","22 dy 12 hr 4 min 32 sec","6 min 26 sec"
" 01/29/15 ","4 min 26 sec","24 dy 8 hr 43 min 5 sec","6 min 37 sec"
" 01/28/15 ","4 min 12 sec","22 dy 3 hr 22 min 57 sec","6 min 37 sec"
" 01/27/15 ","4 min 35 sec","23 dy 7 hr 55 min 25 sec","6 min 49 sec"
" 01/26/15 ","4 min 10 sec","24 dy 10 hr 3 min 19 sec","6 min 37 sec"
" 01/25/15 ","4 min 35 sec","25 dy 1 hr 46 min 7 sec","6 min 47 sec"
" 01/24/15 ","4 min 25 sec","24 dy 19 hr 3 min 17 sec","6 min 51 sec"
" 01/23/15 ","4 min 26 sec","27 dy 6 hr 19 min 15 sec","6 min 45 sec"
" 01/22/15 ","4 min 26 sec","25 dy 22 hr 16 min 11 sec","6 min 56 sec"
" 01/21/15 ","4 min 2 sec","25 dy 1 hr 28 min 56 sec","6 min 27 sec"
" 01/20/15 ","3 min 56 sec","23 dy 14 hr 57 min 32 sec","6 min 27 sec"
" 01/19/15 ","4 min 24 sec","24 dy 20 hr 58 min 22 sec","6 min 54 sec"
" 01/18/15 ","4 min 1 sec","21 dy 20 hr 11 min 9 sec","6 min 38 sec"
" 01/17/15 ","4 min 1 sec","21 dy 15 hr 10 min 7 sec","6 min 42 sec"
" 01/16/15 ","4 min 8 sec","19 dy 9 hr 35 min 13 sec","6 min 42 sec"
" 01/15/15 ","4 min 27 sec","20 dy 4 min 28 sec","6 min 42 sec"
" 01/14/15 ","4 min 28 sec","16 dy 12 hr 18 min 30 sec","6 min 31 sec"
" 01/13/15 ","3 min 58 sec","16 dy 7 hr 43 min 5 sec","6 min 25 sec"
" 01/12/15 ","4 min 4 sec","16 dy 18 hr 26 min 57 sec","6 min 36 sec"
" 01/11/15 ","4 min 27 sec","14 dy 23 hr 10 min 53 sec","6 min 42 sec"
" 01/10/15 ","4 min 29 sec","17 dy 3 hr 34 min 56 sec","6 min 48 sec"
" 01/09/15 ","4 min 21 sec","16 dy 5 hr 11 min 29 sec","6 min 55 sec"
" 01/08/15 ","4 min 10 sec","16 dy 9 hr 10 min 15 sec","7 min 7 sec"
" 01/07/15 ","4 min 27 sec","15 dy 15 hr 23 min 0 sec","6 min 50 sec"
" 01/06/15 ","4 min 36 sec","15 dy 10 hr 37 min 33 sec","6 min 56 sec"
" 01/05/15 ","4 min 35 sec","14 dy 19 min 55 sec","6 min 51 sec"
