@relation 'JNC Dataset Android 0511-0911-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R3-8-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R11'

@attribute 'Cohort Size' numeric
@attribute 'Day 1' numeric
@attribute CrashesANRDay1 numeric
@attribute DailyAverageRating numeric
@attribute LevelFailedEvents numeric
@attribute LevelSuccessEvents numeric
@attribute LevelPlayedEvents numeric
@attribute Sessions numeric
@attribute MKTExpenses numeric
@attribute TotalPurchases numeric
@attribute ActiveUsersDay7 {'\'(-inf-6351.4]\'','\'(6351.4-7157.8]\'','\'(7157.8-7964.2]\'','\'(7964.2-8770.6]\'','\'(8770.6-inf)\''}
@attribute MedianSessionSeconds numeric
@attribute AvgSessionSeconds numeric

@data
404,37.62,0,4.3,4355,10030,39218,22439,0,18,'\'(6351.4-7157.8]\'',365,565
433,39.26,0,3.33,4406,10303,40370,21826,0,31,'\'(6351.4-7157.8]\'',342,545
443,40.86,3,3.8,4335,10040,39341,21811,0,22,'\'(6351.4-7157.8]\'',389,567
490,35.71,2,4.88,4291,10030,39128,22142,0,15,'\'(6351.4-7157.8]\'',377,592
480,40,2,4.44,4429,10953,41688,22292,0,10,'\'(6351.4-7157.8]\'',398,576
429,41.03,0,5,4391,10034,40867,21681,0,17,'\'(6351.4-7157.8]\'',360,535
448,38.39,1,3.78,4292,9540,38940,21608,0,19,'\'(6351.4-7157.8]\'',346,529
444,40.32,0,5,4352,10225,41224,22768,0,18,'\'(6351.4-7157.8]\'',357,546
384,37.5,0,4,4206,9925,39615,22371,0,29,'\'(6351.4-7157.8]\'',361,538
378,38.62,1,2.25,4225,9440,39197,21346,0,16,'\'(6351.4-7157.8]\'',350,584
451,39.47,1,3.8,4224,9900,39767,21674,0,30,'\'(6351.4-7157.8]\'',302,529
399,37.34,1,4.11,4473,10473,43387,22719,0,24,'\'(6351.4-7157.8]\'',377,565
399,40.1,1,3.75,4313,9699,40547,22201,0,20,'\'(6351.4-7157.8]\'',350,536
428,39.95,1,4.71,4310,9761,39400,22085,0,19,'\'(6351.4-7157.8]\'',335,538
431,37.35,2,3.4,4298,9925,39455,21946,0,14,'\'(6351.4-7157.8]\'',364,555
461,40.56,1,3.71,4243,10375,39569,22113,0,18,'\'(6351.4-7157.8]\'',354,550
456,37.72,0,4,4134,9864,37392,21299,0,17,'\'(-inf-6351.4]\'',324,568
466,37.55,1,3.25,4138,10306,39673,23118,0,28,'\'(-inf-6351.4]\'',252,476
496,38.51,0,4.08,4397,10692,41773,22464,0,27,'\'(6351.4-7157.8]\'',289,540
441,37.41,1,3.71,4225,9657,39134,22044,0,18,'\'(-inf-6351.4]\'',298,539
474,39.66,1,4,4261,9700,38067,21735,0,23,'\'(-inf-6351.4]\'',329,523
452,41.15,0,4.67,4064,9405,36724,20839,0,15,'\'(-inf-6351.4]\'',332,513
431,32.48,0,4.2,4204,9983,38462,21480,0,15,'\'(-inf-6351.4]\'',296,495
391,39.64,0,4.5,4031,9955,37022,21196,0,14,'\'(-inf-6351.4]\'',274,486
445,40,1,4,4076,9925,37901,23404,0,17,'\'(-inf-6351.4]\'',283,508
425,38.82,0,4,4362,10994,42171,24678,0,27,'\'(-inf-6351.4]\'',341,556
366,38.8,0,4.13,4182,9743,38418,22482,0,11,'\'(-inf-6351.4]\'',306,518
368,39.67,0,4.4,4074,8961,36613,20949,0,23,'\'(-inf-6351.4]\'',314,503
371,36.93,1,5,4054,8779,35655,20489,0,14,'\'(-inf-6351.4]\'',356,543
403,37.97,0,4,3976,9259,37559,21853,0,15,'\'(-inf-6351.4]\'',378,544
415,40.48,0,5,3909,9153,35337,21384,0,12,'\'(-inf-6351.4]\'',358,557
443,36.34,0,4.5,3979,9551,37345,22188,0,22,'\'(-inf-6351.4]\'',346,558
416,44.95,1,2.67,4092,10194,39683,21835,0,30,'\'(-inf-6351.4]\'',358,541
409,36.43,1,3.86,4168,10491,40632,23280,0,20,'\'(-inf-6351.4]\'',389,574
370,35.14,1,4.8,4078,9639,37337,21410,0,14,'\'(-inf-6351.4]\'',344,511
356,31.18,0,5,3909,9129,35205,19440,0,20,'\'(-inf-6351.4]\'',336,526
349,33.52,0,4.33,3910,9326,36806,19877,0,13,'\'(-inf-6351.4]\'',334,527
341,36.07,0,4.33,3794,8463,33790,18727,0,23,'\'(-inf-6351.4]\'',250,496
