@relation 'DNC Dataset Android 0511-0911-weka.filters.unsupervised.attribute.Remove-R1,18-weka.filters.unsupervised.attribute.Remove-R3-8'

@attribute 'Cohort Size' numeric
@attribute 'Day 1' numeric
@attribute CrashesANRDay1 numeric
@attribute DailyAverageRating numeric
@attribute LevelFailedEvents numeric
@attribute LevelSuccessEvents numeric
@attribute LevelPlayedEvents numeric
@attribute Sessions numeric
@attribute MKTExpenses numeric
@attribute TotalPurchases numeric
@attribute ActiveUsersDay7 numeric
@attribute AvgSessionSeconds numeric
@attribute MedianSessionSeconds numeric

@data
314,34.71,1,4.69,5790,5406,11196,3505,71.2,3,1625,471,286
269,31.6,2,4.6,5485,4951,10436,3608,77.6,4,1547,495,335
265,37.36,0,4.27,5088,4566,9655,3652,69.6,9,1530,502,330
291,34.36,1,4.67,5565,4931,10498,3508,73.6,6,1538,476,306
255,34.51,1,4,5071,4311,9382,3542,69.6,5,1472,451,290
254,35.43,1,4.21,4835,4201,9036,3903,71.1,2,1395,493,310
248,33.87,0,4.42,4887,4334,9221,3641,72,9,1385,473,305
244,33.2,0,4.39,4522,4063,8586,3659,72,10,951,499,325
261,31.8,1,4.31,4330,3772,8102,4285,65.6,5,670,510,313
240,31.25,0,4.33,4641,3624,8267,4212,75.2,4,585,504,332
265,35.47,0,4.69,4636,3997,8633,3938,80.8,8,499,484,326
229,34.06,1,4.44,4220,3502,7722,4139,75.2,9,459,495,308
231,34.63,0,4.64,3960,3735,7695,3943,70.4,9,801,499,326
194,21.65,0,4.42,3851,3268,7119,4378,80,5,1046,494,338
33,24.24,0,4.67,2581,1962,4543,4110,148.21,4,1173,535,294
22,22.73,1,5,2002,1267,3270,4263,107.99,8,1205,498,317
29,24.14,0,4.36,1783,1204,2990,4149,116,13,1188,462,314
9,44.44,0,4.45,1660,1172,2833,4027,122.92,7,1208,479,324
13,38.46,1,4.57,1412,990,2403,4092,69.6,1,1125,500,342
211,46.45,1,3.89,2060,1808,3868,4224,72,0,1188,517,334
233,39.06,1,4.33,2544,2314,4858,4996,64.8,5,1081,515,348
246,38.62,0,4.88,2897,2482,5379,4659,64,2,1067,474,318
237,37.97,0,5,2996,2593,5589,4612,69.6,5,1136,455,298
250,34.4,2,4.71,3004,2606,5610,5059,69.6,8,1034,463,328
255,34.12,0,4.2,3052,2709,5764,5197,71.2,7,967,476,318
209,37.8,1,5,2872,2617,5489,5422,68,11,999,494,362
197,37.56,1,4.5,2860,2443,5303,6163,55.72,5,913,487,338
140,35.71,0,4.6,2891,2376,5267,6088,6.3,12,937,500,341
127,41.73,0,3.83,2713,2183,4896,6721,8.1,7,896,481,324
179,39.11,0,4.14,2748,2322,5070,7108,7.1,4,922,470,330
147,37.41,0,4.44,2684,2066,4751,7718,7.2,3,883,461,311
140,43.57,0,4,2322,1932,4254,7469,13.4,4,768,529,310
115,33.91,0,4.55,2264,1879,4143,7143,7.2,6,750,471,320
105,35.24,0,5,2177,1729,3906,6939,0,2,709,556,303
105,40,1,3.25,2336,2026,4362,7266,0.8,1,730,477,314
100,37,0,5,2314,1865,4179,7882,0,5,756,474,305
108,37.96,0,4.88,2201,1862,4063,8285,0,2,769,443,278
100,24,0,4.3,2255,1823,4078,8540,0.9,6,665,1174,331
73,41.1,0,4.75,1806,1314,3120,7524,0,4,665,1114,320
69,30.43,0,4,1918,1527,3445,6948,0,2,616,1054,332
78,46.15,0,4,1603,1240,2843,3095,0.9,2,608,994,312
78,35.9,3,3.71,1784,1374,3158,3418,0,4,643,934,326
73,41.1,0,4,1600,1320,2920,3706,0,3,650,874,301
111,29.73,1,4.22,1769,1463,3232,3088,0.9,7,688,814,315
71,39.44,0,3.33,1689,1446,3135,3547,0,1,688,754,315
75,44,0,4.38,1554,1136,2690,3362,0,6,602,694,268
49,44.9,1,4.38,1429,1035,2464,3091,0,1,592,634,312
67,35.82,0,4.5,1453,1266,2720,2984,0,4,624,574,302
82,35.37,1,4.33,1414,1223,2877,2885,0.9,5,564,514,347
69,52.17,1,3.82,1515,1239,2949,2991,0,0,603,454,276
