@relation 'DNC Dataset Android 0511-0911 - Training Set-weka.filters.unsupervised.attribute.Remove-R4-9,18-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'Cohort Size' numeric
@attribute 'Day 1' numeric
@attribute CrashesANRDay1 numeric
@attribute DailyAverageRating numeric
@attribute LevelFailedEvents numeric
@attribute LevelSuccessEvents numeric
@attribute LevelPlayedEvents numeric
@attribute Sessions numeric
@attribute MKTExpenses numeric
@attribute TotalPurchases numeric
@attribute ActiveUsersDay7 numeric
@attribute AvgSessionSeconds numeric
@attribute MedianSessionSeconds numeric

@data
405,39.75,8,3.72,6353,8543,14896,6739,180.51,3,1620,413,269
375,37.07,4,3.81,5899,7415,13314,6141,180.01,1,1620,387,254
349,40.69,5,3.8,6057,7422,13480,6245,179.97,0,1492,397,258
324,41.36,0,4.3,6198,7178,13376,6039,180.33,5,1556,413,288
266,40.98,2,4.1,5895,6502,12397,5592,157.06,0,1431,450,320
292,37.67,3,4.6,5604,6196,11800,5531,154.83,4,1427,418,292
335,43.28,3,3.4,6232,6865,13097,6078,180.11,4,1404,430,310
258,38.37,2,3.62,5883,5924,11807,5731,139.85,1,1491,419,304
285,37.19,3,4,5403,6010,11413,5425,98.51,4,1518,421,304
272,42.65,0,3.13,4795,5575,10370,5041,100.86,1,1422,429,305
273,42.49,1,4.63,5420,6232,11652,5478,103.2,1,1418,418,274
229,47.6,1,3.64,5188,5692,10880,4998,81.8,0,1373,405,268
220,51.82,2,3.88,5160,5274,10434,4915,81.6,1,1406,407,261
222,40.09,1,3.43,4867,5202,10069,4651,81.27,0,1356,396,273
242,37.6,2,3.89,5313,5697,11010,5152,81.08,1,1390,412,286
234,39.32,3,4.22,5404,5451,10855,5396,80.92,0,1576,418,289
233,46.78,5,3,4732,4937,9669,4723,80.9,0,1549,399,270
262,38.55,4,3,4601,5104,9705,4862,81.32,0,1525,386,245
230,43.04,2,3.14,5041,5235,10277,5142,81.19,1,1537,412,281
227,34.8,0,4.17,4833,4985,9822,4747,96.15,0,1565,409,263
237,40.08,2,4.33,4461,4977,9438,4578,102.14,1,1565,394,259
235,42.13,0,4,4841,4931,9772,4618,90.56,0,1455,406,266
292,42.81,2,4,6126,6196,12322,5571,90.62,4,1537,407,274
339,43.95,3,3.2,6102,6252,12354,5475,90.72,2,1411,420,289
294,45.92,0,4,5839,5931,11770,5282,94.89,3,1371,446,304
284,44.72,1,4,6022,5450,11472,5608,100.25,1,1304,420,298
229,44.1,1,3.38,6945,6303,13248,6035,91.28,3,1228,422,285
228,40.79,0,4,6321,5291,11612,5535,74.69,0,1235,416,286
164,38.41,0,4.17,6648,4863,11512,5386,59.97,0,1247,412,287
183,43.17,0,3.67,6400,4933,11333,5454,46.24,1,1278,411,286
170,40,1,4.36,5968,4412,10380,5016,52.88,0,1222,441,285
192,38.02,0,4,5819,4343,10163,4868,76.33,1,1193,424,297
123,43.09,0,3.75,5873,4005,9878,4635,44.32,1,1145,423,281
113,42.48,1,3.67,5483,3784,9267,4382,44.15,3,1131,414,285
140,46.43,0,3.75,5783,4113,9896,4717,42.42,1,1128,411,292
135,38.52,2,4.5,5797,4008,9805,4656,39.21,0,1201,424,280
149,43.62,1,4,4888,3557,8445,4442,38.46,0,1185,452,304
148,47.97,2,3.33,5023,3345,8368,3864,43.14,0,1014,420,297
143,43.36,1,3.5,5192,3430,8622,4168,41.13,1,1013,424,302
100,47,2,4,5060,3321,8381,4103,36.23,0,998,434,319
110,45.45,1,3,4856,3267,8123,3889,35.88,1,993,450,328
120,43.33,0,3,4942,3296,8238,3859,31.51,2,899,400,284
102,39.22,0,3.57,5443,3318,8761,4371,29.58,1,962,416,288
94,36.17,1,2.67,5315,3429,8744,4347,29,0,973,413,303
93,39.78,0,3,4227,2738,6965,3417,27.34,0,815,410,289
68,41.18,1,5,4472,2603,7076,3521,26.39,3,858,416,304
67,40.3,4,2.75,4433,2618,7051,3624,18.67,0,950,419,290
70,47.14,0,2.75,4346,2642,6989,3436,19.61,0,1022,411,296
63,49.21,0,4.5,3920,2099,6019,3198,17.46,0,1091,427,313
63,33.33,0,4,4303,2379,6682,3269,17.58,0,1151,422,312
72,36.11,0,4,4184,2253,6437,3380,12.85,2,1261,421,296
54,50,1,4.5,3199,2006,5205,2733,18.93,0,1210,422,309
69,34.78,1,2.5,3203,1999,5202,2878,15.54,0,1182,431,312
167,43.71,0,4.2,3711,2456,6168,3147,41.07,0,1236,394,262
168,42.26,0,4.25,4004,2804,6808,3667,66.32,0,1160,448,306
232,41.81,2,3.64,4210,3286,7496,3912,62.91,0,1253,417,302
272,47.43,2,4.17,4374,3573,7947,3940,71.57,2,1026,421,296
272,44.85,1,4.25,5288,4544,9832,4768,75.03,0,866,432,309
256,41.41,2,3.67,4805,4236,9041,4374,76.88,0,817,413,291
235,42.13,2,4.33,4675,3990,8665,4410,79.29,0,830,421,285
258,43.8,0,4.55,4926,4209,9136,4507,79.27,0,956,432,297
197,52.79,0,4.25,5081,3956,9037,4689,59.66,0,961,427,305
204,40.2,0,4.25,5332,4184,9516,4870,49.08,0,1039,420,297
60,28.33,1,5,4348,2831,7179,3788,41.13,0,1066,425,302
10,20,4,4.83,3744,1948,5692,3136,40.51,1,1071,403,264
10,40,0,4,3462,1866,5328,2944,37.12,0,1073,427,302
88,42.05,0,4.5,3059,1984,5043,2863,35.6,0,1105,418,281
162,44.44,1,3.13,3374,2511,5885,3112,35.45,0,1079,446,277
162,43.21,2,4,3522,2598,6120,3184,48.14,0,1079,409,271
202,42.08,1,3.5,3468,2955,6423,3465,44.35,0,1118,385,235
180,37.22,1,5,3607,2656,6263,3338,50.37,0,1196,388,239
210,36.67,1,3,4166,3265,7432,3696,51.56,0,1201,382,232
226,40.71,0,3.71,3837,2949,6786,3566,55.8,0,1182,394,231
233,39.06,0,4.67,3732,3113,6845,3513,60.45,0,1182,400,238
209,44.02,0,4,3768,3254,7022,3495,54.68,0,1165,386,248
192,42.19,0,4,3958,3035,6993,3531,56.42,0,1127,420,270
202,47.03,2,4.75,4111,3221,7332,3805,61.52,0,1110,402,253
200,38,1,3.75,4368,3474,7842,4068,62.65,0,1219,410,240
210,40,?,4.4,4466,3480,7946,4039,60.89,0,1184,413,257
212,48.11,1,4.25,4232,3549,7781,3891,62.26,0,1146,407,257
194,40.72,1,4.14,4546,3153,7699,3692,54.78,0,1078,382,235
173,44.51,0,5,4874,3203,8078,4056,60.15,0,1014,395,239
210,41.9,0,4.5,4407,3163,7570,3740,56.47,5,959,386,237
183,47.54,1,4.5,4507,3417,7924,3783,61.3,1,988,397,266
214,39.25,1,4.57,4907,3345,8253,4159,67.28,1,1043,397,252
231,42.86,3,4.63,5434,3951,9385,4406,66.48,0,1061,409,275
182,42.86,1,4.25,4534,3270,7804,3895,68.66,0,1001,397,250
170,44.71,1,4,4133,2797,6930,3695,62.06,0,947,407,275
148,43.92,2,2,3757,2672,6429,3465,54.68,1,963,411,265
139,47.48,1,3.75,3692,2671,6363,3240,49.79,0,961,405,266
135,38.52,0,4.44,3805,2483,6288,3242,49.05,0,962,416,266
169,46.75,1,4.17,4656,3365,8021,4069,48.7,1,952,387,242
159,41.51,0,5,4421,3144,7565,3886,50.77,0,1002,387,236
162,37.65,0,3.8,3526,2489,6015,3160,51.26,0,944,414,264
156,42.95,1,3.5,3776,2784,6560,3236,51.57,0,969,398,241
139,43.17,0,3,4202,2739,6941,3661,51.23,0,926,402,241
140,50.71,4,4,3903,2679,6582,3409,52.4,0,935,402,248
149,28.86,0,5,3819,2551,6370,3455,52.46,0,917,402,267
170,41.18,0,4,3586,2470,6056,3167,51.31,2,926,391,268
163,40.49,1,4.8,3881,2931,6812,3410,54.13,0,919,385,238
161,43.48,0,3.8,3622,2530,6152,2904,55.64,0,907,396,244
158,41.14,1,4.5,4116,2928,7044,3307,53.34,0,868,402,267
173,41.04,1,4,3312,2542,5854,2912,51.63,1,871,408,269
158,48.73,1,2,3657,2730,6387,3048,47.88,0,816,415,261
128,41.41,1,3,3377,2451,5828,3093,49.77,0,877,427,250
140,39.29,1,4.5,3612,2568,6180,3156,49.89,1,989,410,267
148,38.51,0,3.67,3716,2774,6491,3192,49.56,0,1009,416,276
147,40.82,0,3.88,3985,2434,6419,3255,45.7,1,931,411,275
